CPI,year
0.063182598,1960
-0.180407722,1961
0.108440268,1962
3.105253656,1963
-0.402731571,1964
-0.105485232,1965
0.967969025,1966
4.57556214,1967
-0.158346529,1968
-0.409015025,1969
1.843935966,1970
1.613035964,1971
3.231554224,1972
10.56017574,1973
17.32898098,1974
4.487722269,1975
2.633711507,1976
4.788224014,1977
4.860064586,1978
3.654467998,1979
6.674919535,1980
9.7,1981
5.81890003,1982
3.704235463,1983
3.897272601,1984
0.346458791,1985
0.737002855,1986
0.290007909,1987
2.556519453,1988
2.813200897,1989
2.617801047,1990
4.358333333,1991
4.7672283,1992
3.536585366,1993
3.724970554,1994
3.450575096,1995
3.488559459,1996
2.662514597,1997
5.270342003,1998
2.744561302,1999
1.534740237,2000
1.416784732,2001
1.807872463,2002
1.089676326,2003
1.421271159,2004
2.975070927,2005
3.609235642,2006
2.027353178,2007
5.440782211,2008
0.583308406,2009
1.622852356,2010
3.174470922,2011
1.663571025,2012
2.105012312,2013
3.142990509,2014
2.104389802,2015
2.090566595,2016
3.871201158,2017
0.884709161,2018
0.662891866,2019